SIZE:100, WORST, BUBBLESORT, 0.0001293
SIZE:100, AVG, INSERTIONSORT, 4.1e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.8e-05
SIZE:100, AVG, SELECTIONNSORT, 4.64e-05
SIZE:100, BEST, SELECTIONSORT, 4.1e-05
SIZE:100, WORST, SELECTIONNSORT, 4.41e-05
SIZE:100, AVG, QUICKSORT, 0.0006014
SIZE:100, BEST, QUICKSORT, 0.0003641
SIZE:100, WORST, QUICKSORT, 0.000356
SIZE:100, AVG, BUBBLESORT, 0.0001136
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001295
SIZE:100, AVG, INSERTIONSORT, 4.01e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.8e-05
SIZE:100, AVG, SELECTIONNSORT, 4.68e-05
SIZE:100, BEST, SELECTIONSORT, 4.08e-05
SIZE:100, WORST, SELECTIONNSORT, 4.54e-05
SIZE:100, AVG, QUICKSORT, 0.0005701
SIZE:100, BEST, QUICKSORT, 0.0003531
SIZE:100, WORST, QUICKSORT, 0.0003556
SIZE:100, AVG, BUBBLESORT, 0.0001375
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001663
SIZE:100, AVG, INSERTIONSORT, 6.52e-05
SIZE:100, BEST, INSERTIONSORT, 2.8e-06
SIZE:100, WORST, INSERTIONSORT, 0.000112
SIZE:100, AVG, SELECTIONNSORT, 6.51e-05
SIZE:100, BEST, SELECTIONSORT, 6.03e-05
SIZE:100, WORST, SELECTIONNSORT, 9.35e-05
SIZE:100, AVG, QUICKSORT, 0.0006415
SIZE:100, BEST, QUICKSORT, 0.0005201
SIZE:100, WORST, QUICKSORT, 0.0004577
SIZE:100, AVG, BUBBLESORT, 0.0001216
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001388
SIZE:100, AVG, INSERTIONSORT, 4.3e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.83e-05
SIZE:100, AVG, SELECTIONNSORT, 4.75e-05
SIZE:100, BEST, SELECTIONSORT, 4.1e-05
SIZE:100, WORST, SELECTIONNSORT, 4.81e-05
SIZE:100, AVG, QUICKSORT, 0.0006098
SIZE:100, BEST, QUICKSORT, 0.0003652
SIZE:100, WORST, QUICKSORT, 0.0003688
SIZE:100, AVG, BUBBLESORT, 0.0001108
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001397
SIZE:100, AVG, INSERTIONSORT, 4.4e-05
SIZE:100, BEST, INSERTIONSORT, 2e-06
SIZE:100, WORST, INSERTIONSORT, 7.99e-05
SIZE:100, AVG, SELECTIONNSORT, 4.69e-05
SIZE:100, BEST, SELECTIONSORT, 4.11e-05
SIZE:100, WORST, SELECTIONNSORT, 4.6e-05
SIZE:100, AVG, QUICKSORT, 0.0006143
SIZE:100, BEST, QUICKSORT, 0.0003739
SIZE:100, WORST, QUICKSORT, 0.0003746
SIZE:100, AVG, BUBBLESORT, 0.0001152
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001294
SIZE:100, AVG, INSERTIONSORT, 3.89e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.8e-05
SIZE:100, AVG, SELECTIONNSORT, 4.6e-05
SIZE:100, BEST, SELECTIONSORT, 4.09e-05
SIZE:100, WORST, SELECTIONNSORT, 4.35e-05
SIZE:100, AVG, QUICKSORT, 0.0006014
SIZE:100, BEST, QUICKSORT, 0.0003502
SIZE:100, WORST, QUICKSORT, 0.0003502
SIZE:100, AVG, BUBBLESORT, 0.0001181
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.000135
